energy,magnet,clus_size
-178,-88,94
-186,86,87
-178,-88,87
-138,66,77
-186,-90,78
-174,84,87
-178,88,2
-158,-82,85
-166,-86,2
-198,96,91
-186,-92,94
-138,74,83
-126,70,2
-154,-58,64
-206,-98,20
-198,-96,1
-190,92,94
-186,-92,92
-198,96,94
-198,-96,96
-170,86,91
-170,-88,87
-166,88,88
-154,-82,85
-126,-46,18
-154,-78,16
-158,80,79
-118,-26,53
-138,-64,19
-146,-76,6
-178,88,82
-174,-86,87
-194,94,90
-186,92,1
-150,-64,78
-150,-66,1
-178,84,75
-134,-42,63
-130,68,55
-106,38,15
-98,26,6
-114,-30,28
-126,56,43
-142,-72,64
-154,80,76
-138,38,21
-162,-80,59
-146,68,74
-150,72,2
-146,70,1
-142,-60,65
-162,80,70
-162,-72,76
-178,84,78
-198,-94,89
-198,94,94
-158,-84,89
-170,-88,2
-182,-92,2
-166,-74,9
-174,86,80
-206,-98,92
-174,88,93
-174,-86,87
-166,86,86
-142,-76,81
-134,60,68
-126,-70,65
-146,56,63
-186,-90,73
-182,92,91
-178,-90,91
-202,96,93
-166,-82,89
-154,-76,3
-162,68,72
-166,-84,76
-158,-80,2
-162,-82,1
-150,-78,2
-130,-68,5
-158,80,74
-154,78,1
-162,80,1
-154,-80,80
-162,82,81
-174,-88,85
-178,88,88
-190,-94,91
-162,74,84
-186,-90,82
-202,-96,3
-178,88,92
-214,-100,94
-178,90,95
-166,-84,87
-150,62,73
-146,64,1
-150,-60,62
-154,80,70
-162,-80,80
-190,94,87
-154,-80,87
-190,94,87
-182,-90,92
-174,88,89
-166,-86,87
-142,54,70
-194,-94,74
-146,72,83
-154,-82,77
-186,92,87
-198,-96,94
-170,-78,9
-190,94,86
-170,-88,91
-146,72,80
-154,-78,75
-154,84,81
-122,-30,57
-130,-36,3
-118,-32,2
-114,-28,2
-146,-68,20
-138,68,68
-158,-80,74
-174,-86,3
-186,-90,2
-190,94,92
-190,-94,94
-150,80,87
-142,-62,71
-174,88,75
-206,-98,93
-178,88,93
-134,-54,71
-146,-62,4
-158,-76,7
-150,76,76
-134,-58,67
-170,84,71
-126,-44,64
-126,-58,7
-158,72,65
-142,66,3
-158,-82,74
-190,92,87
-186,-92,92
-174,90,91
-174,-88,89
-170,80,84
-206,-98,89
-198,96,97
-170,-82,89
-162,82,82
-158,-82,82
-186,92,87
-178,90,1
-170,-86,88
-162,76,81
-142,-70,73
-122,-56,7
-126,-58,1
-138,72,65
-146,-76,74
-138,76,76
-186,-92,84
-202,96,94
-170,-86,91
-194,92,89
-198,-96,94
-190,94,95
-166,-88,91
-166,72,80
-142,-76,74
-138,-74,1
-162,72,73
-182,88,8
-190,90,1
-162,-80,85
-158,78,79
-154,-80,79
-146,-78,1
-174,88,83
-214,-100,94
-186,82,91
-158,-76,79
-146,-62,7
-142,60,61
-206,-98,79
-198,96,97
-190,-94,95
-174,84,89
-166,-86,85
-150,-76,5
-162,82,79
-182,-90,86
-178,90,90
-162,-72,81
-162,72,72
-154,-84,78
-146,68,76
-158,-82,75
-198,96,89
-182,-92,94
-190,94,93
-186,-86,90
-182,92,89
-166,-84,88
-174,84,84
-154,-82,83
-154,68,75
-174,-88,78
-190,-94,3
-170,70,82
-194,-94,82
-146,54,74
-158,76,11
-170,80,2
-162,78,1
-126,-6,42
-174,88,47
-190,-90,89
-198,96,93
-186,-92,94
-198,96,94
-202,-96,96
-138,74,85
-166,-86,80
-142,68,77
-186,-90,79
-178,88,89
-170,86,1
-154,74,6
-134,-52,63
-134,-22,15
-162,76,49
-166,-80,78
-166,84,82
-154,-76,80
-146,72,74
-170,-88,80
-150,70,79
-134,-70,70
-130,68,69
-134,-76,72
-138,72,74
-186,-92,82
-182,92,92
-198,-96,94
-174,90,93
-150,-72,81
-166,78,75
-142,-70,74
-150,70,70
-162,-76,73
-146,72,74
-158,-76,74
-166,72,74
-174,-88,80
-158,78,83
-166,82,2
-174,-88,85
-158,80,84
-166,-84,82
-186,92,88
-178,90,1
-146,-68,79
-170,88,78
-146,-72,80
-138,-68,2
-162,-84,8
-170,88,86
-182,-90,89
-174,88,89
-170,-78,83
-126,62,70
-162,-80,71
-170,82,81
-166,78,2
-186,-92,85
-186,92,92
-186,-92,92
-198,96,94
-170,-82,89
-178,78,80
-186,-92,85
-198,96,94
-198,-94,95
-202,96,95
-186,-92,94
