p,acc
1.47897,0.48859
1.47983,0.4891
1.48069,0.4884
1.48154,0.48873
1.4824,0.48502
1.48326,0.48845
1.48412,0.48515
1.48498,0.48561
1.48584,0.48659
1.4867,0.48579
1.48755,0.48796
1.48841,0.48457
1.48927,0.48609
1.49013,0.48727
1.49099,0.48512
1.49185,0.48641
1.49271,0.48433
1.49356,0.48392
1.49442,0.48806
1.49528,0.485
1.49614,0.48417
1.497,0.48293
1.49786,0.48502
1.49872,0.48357
1.49957,0.48191
1.50043,0.4838
1.50129,0.48535
1.50215,0.48497
1.50301,0.48602
1.50387,0.48173
1.50473,0.48418
1.50558,0.4818
1.50644,0.4836
1.5073,0.4811
1.50816,0.47974
1.50902,0.48292
1.50988,0.48096
1.51074,0.48016
1.51159,0.48043
1.51245,0.48155
1.51331,0.48156
1.51417,0.48075
1.51503,0.47778
1.51589,0.48024
1.51675,0.48013
1.51761,0.47984
1.51846,0.47873
1.51932,0.47979
1.52018,0.47891
1.52104,0.47929
1.5219,0.48057
1.52276,0.47768
1.52362,0.47539
1.52447,0.47777
1.52533,0.47723
1.52619,0.47871
1.52705,0.47933
1.52791,0.47608
1.52877,0.47483
1.52963,0.47821
1.53048,0.47868
1.53134,0.47873
1.5322,0.47731
1.53306,0.47396
1.53392,0.47569
1.53478,0.47477
1.53564,0.47781
1.53649,0.47402
1.53735,0.47956
1.53821,0.47707
1.53907,0.47676
1.53993,0.4742
1.54079,0.47355
1.54165,0.47765
1.5425,0.47304
1.54336,0.47567
1.54422,0.47662
1.54508,0.4744
1.54594,0.47348
1.5468,0.47528
1.54766,0.47445
1.54851,0.47698
1.54937,0.47433
1.55023,0.47723
1.55109,0.47494
1.55195,0.47251
1.55281,0.47316
1.55367,0.4722
1.55452,0.47056
1.55538,0.47501
1.55624,0.47392
1.5571,0.47262
1.55796,0.47074
1.55882,0.47082
1.55968,0.47174
1.56053,0.46948
1.56139,0.47101
1.56225,0.47022
1.56311,0.47135
1.56397,0.47371
1.56483,0.46942
1.56569,0.46987
1.56654,0.4734
1.5674,0.46988
1.56826,0.47089
1.56912,0.46816
1.56998,0.46954
1.57084,0.47117
1.5717,0.46956
1.57255,0.4695
1.57341,0.46551
1.57427,0.46644
1.57513,0.47118
1.57599,0.4669
1.57685,0.46677
1.57771,0.46722
1.57856,0.47082
1.57942,0.46573
1.58028,0.4677
1.58114,0.46757
1.582,0.46499
1.58286,0.46681
1.58372,0.4671
1.58457,0.46583
1.58543,0.46724
1.58629,0.4656
1.58715,0.46377
1.58801,0.46352
1.58887,0.46638
1.58973,0.46381
1.59058,0.46638
1.59144,0.46398
1.5923,0.46462
1.59316,0.46483
1.59402,0.46371
1.59488,0.4651
1.59574,0.46629
1.59659,0.46434
1.59745,0.46345
1.59831,0.46236
1.59917,0.46384
1.60003,0.46348
