throws,error
4200,0.0125286
4200,0.00252457
4200,0.00464663
4200,0.00475109
4200,0.00191826
4300,0.00200991
4300,0.00615534
4300,0.0110186
4300,0.00450434
4300,0.0117813
4300,0.000358906
4300,0.0103008
4300,0.00911636
4300,0.00704365
4300,0.00911636
4400,0.0052805
4400,0.0148298
4400,0.014251
4400,0.0113573
4400,0.00325489
4400,0.000650533
4400,0.00253257
4400,0.00397943
4400,0.00991046
4400,0.020763
4500,0.0112351
4500,0.00642512
4500,0.00133217
4500,0.012532
4500,0.012532
4500,0.00121431
4500,0.00291197
4500,0.012084
4500,0.00925455
4500,0.00432668
4600,0.0021677
4600,0.00881069
4600,0.00447528
4600,0.00493562
4600,0.00908748
4600,0.00419849
4600,0.00115379
4600,0.0111183
4600,0.00447528
4600,0.0234806
4700,0.00992277
4700,0.000642408
4700,0.00829736
4700,0.0118191
4700,0.00524774
4700,0.00470594
4700,0.00849857
4700,0.0158826
4700,0.00253872
4700,0.0103949
4800,0.000241699
4800,0.00872996
4800,0.00634264
4800,0.0140822
4800,0.00214563
4800,0.00506347
4800,0.00824656
4800,0.0093076
4800,0.00130273
4800,0.00607738
4900,0.000662344
4900,0.00063688
4900,0.00739284
4900,0.00663877
4900,0.0136546
4900,0.00767815
4900,0.0115758
4900,0.00895191
4900,0.0102766
4900,0.00715846
5000,0.00331276
5000,0.00559992
5000,0.00585924
5000,0.004586
5000,0.0109522
