time,X,Y
10.102619,84,538
10.102707,83,539
10.102967,84,539
10.103421,85,538
10.104089,84,539
10.104451,85,538
10.104765,84,539
10.105637,83,540
10.105774,82,540
10.106007,81,541
10.106477,80,542
10.107027,79,543
10.107515,78,544
10.108415,79,543
10.109362,80,542
10.110564,79,543
10.113708,78,544
10.114510,77,545
10.115131,76,546
10.115172,75,546
10.117064,74,547
10.117715,75,547
10.119272,74,548
10.119467,73,549
10.120550,74,548
10.121621,75,548
10.123572,76,547
10.123614,77,547
10.125896,76,548
10.126627,77,547
10.126721,78,547
10.127211,77,548
10.127856,78,548
10.128737,79,548
10.129774,80,548
10.129990,81,548
10.130870,80,549
10.131393,79,550
10.132944,78,551
10.135115,77,552
10.135439,76,553
10.136221,77,553
10.136650,76,554
10.137327,77,554
10.137451,76,555
10.138107,75,556
10.138553,76,556
10.138739,77,555
10.140224,76,556
10.140680,77,555
10.141509,76,556
10.142323,75,557
10.142764,74,558
10.142963,75,557
10.143862,76,556
10.146223,75,557
10.146650,76,556
10.147083,77,556
10.147132,78,555
10.148094,79,555
10.149071,80,554
10.150831,81,554
10.151515,80,555
10.153961,79,556
10.157392,78,557
10.158393,77,558
10.159751,78,557
10.160232,79,557
10.162269,80,556
10.162374,81,555
10.162385,80,556
10.163704,79,557
10.164148,80,557
10.164733,79,557
10.164760,80,556
10.164948,79,557
10.165088,80,557
10.165865,81,556
10.166296,80,557
10.166538,79,558
10.167837,80,557
10.167937,79,558
10.171065,80,557
10.171564,79,558
10.172028,80,557
10.173131,81,557
10.174149,82,556
10.175740,83,555
10.176357,82,556
10.177218,81,557
10.178442,82,556
10.178479,83,556
10.178724,82,557
10.179883,83,556
10.181399,82,557
10.183237,83,556
10.183741,82,557
10.184641,81,558
10.185692,82,557
10.185788,81,558
10.185883,80,558
10.187388,79,559
10.188128,80,558
10.188794,81,557
10.189379,82,557
10.191812,81,557
10.192006,80,557
10.192268,81,556
10.194062,82,555
10.196893,81,555
10.197785,82,554
10.198629,83,554
10.199993,82,555
10.200742,83,555
10.201610,82,556
10.204412,83,556
10.205154,84,555
10.205897,83,555
10.206199,82,555
10.206321,81,556
10.206819,82,556
10.207018,81,557
10.210328,80,558
10.211078,79,559
10.213656,80,558
10.214829,81,557
10.214935,82,556
10.215406,83,555
10.218810,84,554
10.218874,83,554
10.220175,82,555
10.220425,83,554
10.220855,82,555
10.224863,83,554
10.226226,84,553
10.226477,85,552
10.227296,84,552
10.227648,85,551
10.228127,86,550
10.228593,85,551
10.231760,86,550
10.235544,85,551
10.240114,84,552
10.243207,83,553
10.244095,84,553
10.244570,83,554
10.247469,82,555
10.247586,83,555
10.249076,84,555
10.249882,83,556
10.249993,84,555
10.250785,85,555
10.251940,86,554
10.252210,87,553
10.252287,88,553
10.253146,87,554
10.254137,86,555
10.255223,87,554
10.256674,88,553
10.257329,87,554
10.257352,86,555
10.259576,85,556
10.259620,84,557
10.260351,83,558
10.260680,84,557
10.261438,83,557
10.262771,84,557
10.263342,83,557
10.265302,82,558
10.266425,81,559
10.266677,82,558
10.268243,83,557
10.268789,84,556
10.269239,85,555
10.269302,86,554
10.269816,85,555
