13300,0.0123308,0.0264662,0.0153383,0.00330827,0.00691729,0.00932331,0.0081203,0.00120301,0.00270677,0.0141353
13400,0.00477612,0.0229851,0.0179104,0.00507463,0.0110448,0.00119403,0.00895522,0.0101493,0.0173134,0.0119403
13500,0.00888889,0.0174815,0.0275556,0.00237037,0.00207407,0.00296296,0.00562963,0.0266667,0.0162963,0.0100741
13600,0.00235294,0.00852941,0.0223529,0.00823529,0.00205882,0.00147059,0.0244118,0.00294118,0.0108824,0.00588235
13700,0.0020438,0.0108029,0.0166423,0.00291971,0.0131387,0.0233577,0.000583942,0.00671533,0.0210219,0.00963504
13800,0.00173913,0.0263768,0.0165217,0.0144928,0.00463768,0.0136232,0.00463768,0.00724638,0.0113043,0.00492754
13900,0.00172662,0.00258993,0.0129496,0.0123741,0.0261871,0.00805755,0.00460432,0.0120863,0.00172662,0.0028777
14000,0.0142857,0.00371429,0.00942857,0.0205714,0.0182857,0.00971429,0.012,0.00428571,0.00514286,0.0122857
14100,0.0246809,0.0260993,0.00113475,0.00510638,0.00368794,0.0144681,0.00851064,0.0164539,0.00624113,0.00595745
14200,0.0123944,0.0140845,0.0152113,0.0143662,0.0259155,0.0104225,0.0123944,0.00929577,0.0101408,0.0112676
14300,0.0111888,0.00587413,0.00363636,0.00531469,0.012028,0.00111888,0.00727273,0.0145455,0.00475524,0.0123077
14400,0.000833333,0.00777778,0.00666667,0.005,0.00416667,0.015,0.0127778,0.00694444,0.0125,0.00833333
14500,0.0231724,0.00386207,0.0126897,0.000551724,0.0162759,0.0157241,0.0113103,0.0281379,0.00413793,0.0115862
14600,0.00630137,0.00219178,0.0213699,0.0158904,0.00191781,0.010411,0.00383562,0.00136986,0.00465753,0.0178082
14700,0.00843537,0.00326531,0.017415,0.000544218,0.00653061,0.00353741,0.00653061,0.00435374,0.00136054,0.0201361
14800,0.00243243,0.0124324,0.017027,0.0132432,0.027027,0.0027027,0.00675676,0.0202703,0.0267568,0.00162162
14900,0.00187919,0.0163758,0.0271141,0.0238926,0.00510067,0.0236242,0.012349,0.0187919,0.000268456,0.00107383
15000,0.0208,0.0261333,0.000533333,0.028,0,0.028,0.0181333,0.0165333,0.0218667,0.00693333
