realization,energy,pressure,acc_ratio
1,-138.156,1.18108,0.38
1,-139.307,1.13968,0.46
1,-146.576,0.949356,0.39
1,-135.586,1.31075,0.43
1,-123.869,1.63455,0.37
1,-131.702,1.42969,0.46
1,-129.447,1.51431,0.4
1,-139.745,1.00721,0.43
1,-135.746,1.11286,0.4
1,-139.699,1.04983,0.3
1,-139.112,1.00058,0.3
1,-140.665,0.934677,0.4
1,-150.286,0.700094,0.43
1,-156.114,0.511519,0.39
1,-156.797,0.48917,0.37
1,-141.848,0.986042,0.44
1,-134.285,1.16409,0.4
1,-130.898,1.13656,0.45
1,-132.146,1.3249,0.4
1,-140.45,1.02744,0.41
1,-141.997,0.94679,0.43
1,-136.305,1.23952,0.5
1,-135.179,1.08983,0.41
1,-143.827,0.784533,0.45
1,-131.857,1.00385,0.41
1,-123.501,1.27702,0.46
1,-137.711,1.09235,0.33
1,-135.663,1.27896,0.46
1,-140.086,1.15153,0.39
1,-131.288,1.24265,0.44
1,-156.95,0.425681,0.46
1,-149.213,0.696635,0.42
1,-148.424,0.537876,0.39
1,-146.687,0.710123,0.34
1,-149.396,0.478243,0.42
1,-140.676,0.57077,0.54
1,-145.332,0.603253,0.51
1,-150.542,0.423769,0.4
1,-150.322,0.521808,0.45
1,-149.709,0.501165,0.54
1,-145.435,0.437161,0.49
1,-147.636,0.425374,0.42
1,-154.358,0.296764,0.41
1,-132.923,0.803071,0.45
1,-139.189,0.702667,0.46
1,-128.445,1.08917,0.53
1,-128.547,1.27408,0.39
1,-123.875,1.32338,0.32
1,-145.519,0.630116,0.38
1,-130.902,1.09242,0.43
1,-128.349,1.14378,0.34
1,-144.426,0.718561,0.39
1,-150.521,0.487046,0.48
1,-144.937,0.587904,0.55
1,-137.163,0.972924,0.37
1,-125.585,1.38435,0.46
1,-136.362,1.07316,0.3
1,-150.019,0.582555,0.47
1,-147.476,0.788366,0.46
1,-131.463,1.3438,0.46
1,-134.681,1.32587,0.34
1,-135.316,1.22795,0.41
1,-135.913,1.19339,0.37
1,-136.492,1.20572,0.45
1,-122.633,1.55091,0.51
1,-129.54,1.47589,0.47
1,-136.414,1.5337,0.41
1,-146.603,1.33109,0.43
1,-148.483,1.11909,0.32
1,-157.988,0.80542,0.37
1,-150.425,0.843896,0.48
1,-149.952,0.922936,0.45
1,-137.722,1.33675,0.38
1,-140.878,1.00741,0.38
1,-132.836,1.14788,0.48
1,-145.358,1.00415,0.47
1,-149.005,1.02529,0.36
1,-156.879,0.745313,0.37
1,-141.366,1.24222,0.39
1,-151.66,1.19765,0.4
1,-150.061,1.27441,0.39
1,-149.875,1.27557,0.39
1,-146.399,1.21457,0.43
1,-134.369,1.18255,0.32
1,-112.826,1.94014,0.4
1,-107.976,2.11973,0.39
1,-106.445,2.21964,0.42
1,-134.134,1.63702,0.4
1,-136.011,1.38674,0.32
1,-134.819,1.31543,0.35
1,-122.033,1.48311,0.44
1,-124.025,1.30308,0.37
1,-131.783,1.13651,0.37
1,-138.038,1.11031,0.49
1,-137.463,1.19829,0.28
1,-146.643,0.893898,0.43
1,-149.091,0.77839,0.48
1,-147.871,0.699812,0.43
1,-142.737,0.777063,0.35
1,-144.442,0.756634,0.39
1,-123.908,1.21668,0.4
1,-139.576,0.865891,0.42
1,-137.954,1.00593,0.39
1,-126.398,1.38479,0.3
1,-140.923,0.91714,0.38
1,-135.236,1.09947,0.35
1,-132.311,1.13861,0.42
1,-133.002,1.03143,0.35
1,-117.823,1.54194,0.33
1,-129.529,1.17987,0.48
1,-134.274,1.20697,0.42
1,-137.089,1.07149,0.46
1,-140.445,1.03613,0.39
1,-145.632,0.860113,0.31
1,-147.415,0.770125,0.4
1,-152.333,0.535285,0.41
1,-143.103,0.842231,0.33
1,-137.507,0.950915,0.4
1,-142.987,0.780605,0.35
1,-136.25,0.997353,0.39
1,-148.642,0.596578,0.39
1,-142.536,0.775906,0.39
1,-131.656,1.11546,0.42
1,-138.699,1.05572,0.41
1,-139.66,1.00381,0.45
1,-149.837,0.813463,0.42
1,-157.448,0.769742,0.38
1,-149.123,0.926593,0.42
1,-128.395,1.57001,0.38
1,-136.365,1.30693,0.4
1,-150.119,0.956466,0.42
1,-134.474,1.30334,0.38
1,-128.984,1.59851,0.39
1,-130.808,1.52069,0.46
1,-134.864,1.38849,0.43
1,-140.069,1.24766,0.46
1,-135.265,1.36832,0.33
1,-148.43,0.956666,0.38
1,-152.663,0.756315,0.42
1,-139.026,1.16122,0.32
1,-145.906,1.04835,0.37
1,-137.636,1.06927,0.33
1,-148.115,0.767366,0.38
1,-139.165,1.02899,0.43
1,-142.8,0.917026,0.42
1,-133.766,1.1924,0.45
1,-148.4,0.739647,0.38
1,-138.5,1.05374,0.44
1,-135.271,1.06677,0.36
1,-146.389,0.803424,0.41
1,-151.343,0.642239,0.54
1,-159.142,0.41913,0.43
1,-144.041,1.03716,0.55
1,-146.562,0.82541,0.45
1,-149.335,0.705349,0.49
1,-145.128,0.859071,0.42
1,-151.052,0.743226,0.43
1,-147.669,0.701011,0.41
1,-132.882,1.09026,0.49
1,-136.058,1.10384,0.54
1,-137.64,1.13058,0.42
1,-134.739,1.14251,0.32
1,-140.589,0.986649,0.39
1,-144.064,0.874483,0.43
1,-149.867,0.840091,0.36
1,-148.506,1.07674,0.41
1,-143.938,1.17835,0.32
1,-132.782,1.34792,0.32
1,-148.99,0.850224,0.39
1,-141.614,1.05717,0.41
1,-135.616,1.26317,0.45
1,-135.671,1.01345,0.45
1,-144.608,0.870501,0.31
1,-139.192,1.20166,0.44
1,-148.357,0.884845,0.4
1,-137.131,1.20542,0.36
1,-143.884,0.967275,0.43
1,-138.149,1.21047,0.35
1,-135.696,1.356,0.44
1,-144.877,1.21649,0.37
1,-128.918,1.48606,0.4
1,-118.252,1.51683,0.44
1,-110.059,1.94669,0.45
1,-115.528,1.82843,0.26
1,-114.913,1.70382,0.46
1,-102.589,2.00514,0.46
1,-127.271,1.32595,0.4
1,-121.843,1.59063,0.42
1,-126.855,1.40691,0.38
1,-139.609,1.12593,0.37
1,-144.717,0.90903,0.31
1,-149.317,0.968972,0.41
1,-141.206,1.24361,0.41
1,-140.847,1.31292,0.29
1,-152.311,0.934429,0.32
1,-144.822,1.18114,0.41
1,-157.625,0.869921,0.36
1,-149.846,0.987934,0.41
1,-138.662,1.26547,0.38
1,-146.771,0.936935,0.35
1,-146.123,0.965159,0.44
1,-149.874,0.634245,0.39
1,-142.108,1.02186,0.47
1,-137.961,1.14803,0.38
1,-139.87,1.05134,0.37
1,-134.377,1.07684,0.39
1,-136.712,1.04143,0.38
1,-145.907,0.696146,0.43
1,-145.441,0.853569,0.37
1,-144.653,0.936097,0.33
1,-145.552,0.944908,0.38
1,-153.431,0.572602,0.35
1,-144.816,1.01532,0.47
1,-132.602,1.24805,0.46
1,-149.79,0.857795,0.47
1,-141.763,1.03807,0.35
1,-135.701,1.06093,0.39
1,-150.852,0.612018,0.44
1,-145.276,0.812861,0.42
1,-126.544,1.17441,0.38
1,-127.78,1.04192,0.47
1,-136.105,0.767718,0.47
1,-138.057,0.744238,0.45
1,-144.293,0.655065,0.52
1,-130.441,1.27984,0.45
1,-123.338,1.52372,0.34
1,-125.334,1.52309,0.51
1,-138.335,0.936413,0.4
1,-137.878,0.81039,0.43
1,-142.836,0.728144,0.43
1,-128.564,1.04196,0.38
1,-137.695,0.678887,0.39
1,-133.338,0.811494,0.43
1,-124.655,1.27967,0.51
1,-123.448,1.29198,0.39
1,-124.632,1.34968,0.5
1,-135.218,0.83276,0.35
1,-142.113,0.727441,0.48
1,-140.721,0.815817,0.39
1,-141.304,0.645256,0.42
1,-133.371,0.912681,0.39
1,-126.868,0.963081,0.47
1,-126.099,0.968317,0.41
1,-128.992,1.0236,0.41
1,-137.067,0.845768,0.37
1,-140.124,0.845545,0.37
1,-120.837,1.34947,0.44
1,-130.237,1.13829,0.41
1,-136.599,0.969969,0.39
1,-136.727,0.918602,0.38
1,-124.794,1.21885,0.43
1,-112.68,1.60053,0.5
1,-133.052,1.0971,0.34
1,-141.404,0.888697,0.3
1,-141.102,0.831816,0.36
