throws,error
13100,0.00323501
13100,0.00191627
13100,0.0155786
13100,0.000707966
13100,0.0065396
13100,0.00803948
13100,0.0014303
13100,0.00745632
13100,0.00842826
13200,0.00489466
13200,0.00282194
13200,0.00369006
13200,0.000843448
13200,0.00229031
13200,0.000554076
13200,0.00190448
13200,0.0067767
13200,0.00301485
13200,0.00282194
13300,0.00786962
13300,0.0101281
13300,0.000459091
13300,0.00270007
13300,0.00145555
13300,0.00160788
13300,0.00361826
13300,0.00375313
13300,0.00346593
13300,0.00356167
13400,0.00481404
13400,0.00269237
13400,0.00623931
13400,0.00174219
13400,0.00348379
13400,0.0105151
13400,0.00357881
13400,0.00478276
13400,0.000728275
13400,0.00623931
13500,0.00159157
13500,0.00281765
13500,0.00680238
13500,0.000176858
13500,0.0035957
13500,0.00602433
13500,0.000766282
13500,0.000271172
13500,0.0146069
13500,0.00696747
13600,0.00266023
13600,0.005672
13600,0.00379959
13600,0.00687316
13600,0.000600578
13600,0.00379959
13600,0.00361235
13600,0.00350282
13600,0.000132475
13600,0.00922958
13700,0.00781092
13700,0.00474399
13700,0.000375946
13700,0.00371329
13700,0.00362875
13700,0.00334154
13700,0.000468883
13700,0.00417798
13700,0.00167707
13700,0.000190072
13800,0.00041568
13800,0.00115379
13800,0.00401397
13800,0.000968276
13800,0.00419849
13800,0.00438203
13800,0.00871942
13800,0.007519
13800,0.0021677
13800,0.00798032
13900,0.00558444
13900,0.00256164
13900,0.0100728
13900,0.00146876
13900,0.000919157
13900,0.00247636
13900,0.00237844
13900,0.00796604
13900,0.00302596
13900,0.000729642
14000,0.00287155
14000,0.00213047
14000,0.000961686
14000,0.00259871
14000,0.0014029
14000,0.00296249
14000,0.00605464
14000,0.00823734
14000,0.00667775
14000,0.000857228
14100,0.00371263
14100,0.00477563
14100,0.00432413
14100,0.00931127
14100,0.00597015
14100,0.00190662
14100,0.00443504
14100,0.00289993
14100,7.9997e-05
14100,0.00405323
14200,0.000838014
14200,0.000417293
14200,0.00247958
14200,0.00146567
14200,0.000686287
14200,0.00630756
14200,0.00263131
14200,0.00534885
14200,0.00550058
14200,0.00370729
14300,0.0036333
14300,0.0108799
14300,0.00220869
14300,0.00514694
14300,0.000818589
14300,0.00861941
14300,0.00461271
14300,0.00639347
14300,7.17879e-05
14300,0.00535951
14400,0.00262902
14400,0.00537003
14400,0.00377848
14400,0.00156799
14400,0.000730914
14400,0.000996173
14400,0.0066079
14400,0.000860635
14400,0.0065666
14400,0.00192167
14500,0.00388763
14500,0.00208343
14500,0.00656172
14500,0.000199624
14500,0.00432668
14500,0.00573163
14500,0.00445429
14500,0.0103375
14500,0.00506895
14500,0.00972286
14600,0.00573945
14600,0.00347204
14600,0.000681374
14600,0.00306858
14600,0.00573945
14600,0.000277916
14600,0.00106279
14600,0.00565224
14600,0.00399528
14600,0.00350462
14700,0.00176287
14700,0.00141641
14700,0.00514086
14700,0.0109695
14700,0.00462117
14700,0.00228256
14700,0.00124318
14700,0.00178834
14700,0.00300095
14700,0.00245579
14800,0.00388056
14800,0.00844013
14800,0.00456879
14800,7.68089e-05
14800,0.00506653
14800,0.00369006
14800,0.00627095
14800,0.00474085
14800,0.00325991
14800,0.00110917
14900,0.00261205
14900,0.000133935
14900,0.000720588
14900,0.00440655
14900,0.00406474
14900,0.00227024
14900,0.00321022
14900,0.0010624
14900,0.00645741
14900,0.00261205
15000,0.00619877
15000,0.00593945
15000,0.0011907
15000,0.0006814
15000,0.0006814
15000,0.000172104
15000,0.00228949
15000,0.00203484
15000,0.00984405
15000,0.00424647
15100,0.00307666
15100,0.00628291
15100,0.00510036
15100,0.000549118
15100,0.000211836
15100,0.00383762
15100,0.0019805
15100,0.00392194
15100,0.00139025
15100,0.00366898
15200,0.00293616
15200,0.0028524
15200,0.00469525
15200,0.00183848
15200,0.00268487
15200,0.00108459
15200,0.00208978
15200,0.00352252
15200,0.00477029
15200,0.00343876
15300,0.00221293
15300,0.00138075
15300,0.0020312
15300,0.00138075
15300,0.00545844
15300,0.00104788
15300,0.00244729
15300,4.92569e-05
15300,0.000548567
15300,0.00104788
15400,0.00379229
15400,0.0100976
15400,0.00505424
15400,0.000176246
15400,0.00362694
15400,0.00431014
15400,0.004123
15400,0.00207784
15400,0.00767815
15400,0.000754991
15500,0.00227306
15500,0.00438064
15500,0.00462707
15500,0.000958752
15500,0.000930571
15500,0.000930571
15500,0.00249132
15500,0.00424453
15500,0.00276593
15500,0.00142344
15600,0.00781807
15600,0.00246579
15600,0.00349232
15600,0.00254741
15600,0.00781807
15600,0.00504306
15600,0.00259452
15600,0.00132314
15600,0.00719963
15600,0.00643057
15700,0.00216947
15700,0.00735974
15700,0.000831161
15700,0.00626473
