energy,magnet,clus_size
-1174,-60,3
-1174,-50,5
-1182,-52,1
-1172,-34,9
-1198,-14,10
-1196,-18,2
-1206,-14,2
-1202,-12,1
-1216,-20,4
-1228,-26,3
-1228,-38,6
-1232,-40,1
-1218,-36,2
-1224,-40,2
-1218,-54,7
-1236,-50,2
-1214,-34,8
-1214,-36,1
-1218,-44,4
-1214,-54,5
-1232,-60,3
-1236,-52,4
-1240,-54,1
-1230,-60,3
-1230,-58,1
-1234,-56,1
-1226,-68,6
-1216,-74,3
-1216,-76,1
-1216,-74,1
-1216,-76,1
-1220,-74,1
-1214,-86,6
-1224,-76,5
-1226,-72,2
-1220,-46,13
-1222,-66,10
-1226,-68,1
-1232,-72,2
-1232,-66,3
-1232,-76,5
-1222,-70,3
-1222,-68,1
-1228,-72,2
-1224,-82,5
-1224,-80,1
-1224,-82,1
-1214,-76,3
-1212,-82,3
-1202,-86,2
-1202,-84,1
-1202,-82,1
-1208,-86,2
-1208,-88,1
-1198,-80,4
-1206,-78,1
-1210,-72,3
-1222,-86,7
-1236,-78,4
-1236,-80,1
-1240,-78,1
-1250,-74,2
-1246,-76,1
-1244,-80,2
-1242,-86,3
-1244,-82,2
-1240,-84,1
-1244,-86,1
-1232,-92,3
-1224,-100,4
-1224,-98,1
-1226,-92,3
-1230,-94,1
-1248,-102,4
-1240,-100,1
-1238,-106,3
-1246,-94,6
-1254,-82,6
-1254,-84,1
-1246,-98,7
-1264,-102,2
-1268,-96,3
-1282,-92,2
-1276,-88,2
-1294,-92,2
-1290,-90,1
-1290,-88,1
-1288,-92,2
-1270,-86,3
-1262,-100,7
-1266,-86,7
-1270,-84,1
-1280,-80,2
-1274,-74,3
-1262,-82,4
-1252,-78,2
-1250,-74,2
-1252,-82,4
-1248,-100,9
-1252,-98,1
-1248,-100,1
-1230,-90,5
-1230,-92,1
-1220,-108,8
-1210,-116,4
-1220,-106,5
-1230,-110,2
-1220,-106,2
-1238,-110,2
-1244,-92,9
-1244,-90,1
-1246,-78,6
-1242,-80,1
-1236,-76,2
-1232,-74,1
