side,temp,obs,variable,value
90,2.8,magnet,tau,3.00397580342439
90,2.9,energy,tau,1.97470719567903
90,2.9,magnet,tau,2.35794843223078
90,3,energy,tau,1.90170064351611
90,3,magnet,tau,1.98385755224476
90,3.1,energy,tau,1.85944561679312
90,3.1,magnet,tau,1.69453268930547
90,3.2,energy,tau,1.83320911270548
90,3.2,magnet,tau,1.50987337709179
90,3.3,energy,tau,1.82585687559985
90,3.3,magnet,tau,1.38603680894545
90,3.4,energy,tau,1.81729837743429
90,3.4,magnet,tau,1.28653658131335
90,3.5,energy,tau,1.81343888600386
90,3.5,magnet,tau,1.21497647202291
90,3.6,energy,tau,1.83362168780514
90,3.6,magnet,tau,1.15812187162367
90,3.7,energy,tau,1.82957173188382
90,3.7,magnet,tau,1.11857119795264
90,3.8,energy,tau,1.83984488675177
90,3.8,magnet,tau,1.0832222686389
90,3.9,energy,tau,1.8638432720648
90,3.9,magnet,tau,1.0576903492636
90,4,energy,tau,1.88039953913792
90,4,magnet,tau,1.0408595766126
90,4.1,energy,tau,1.90878421583074
90,4.1,magnet,tau,1.02696834514789
90,4.2,energy,tau,1.91804454466512
90,4.2,magnet,tau,1.01676275272624
32,0.2,energy,mean,-2
32,0.2,magnet,mean,1
32,0.3,energy,mean,-1.97265625
32,0.3,magnet,mean,1
32,0.4,energy,mean,-2.02343748421717
32,0.4,magnet,mean,0.999999996054293
32,0.5,energy,mean,-2.0195302477904
32,0.5,magnet,mean,0.999999749447601
32,0.6,energy,mean,-1.98240907512626
32,0.6,magnet,mean,0.999996796085859
32,0.7,energy,mean,-1.98428774068813
32,0.7,magnet,mean,0.999978113162879
32,0.8,energy,mean,-1.97228603219697
32,0.8,magnet,mean,0.999906824100379
32,0.9,energy,mean,-2.01253001104798
32,0.9,magnet,mean,0.999710933554293
32,1,energy,mean,-1.98935086410985
32,1,magnet,mean,0.999276211332071
32,1.1,energy,mean,-1.99006946022727
32,1.1,magnet,mean,0.998448321101641
32,1.2,energy,mean,-2.0530588738952
32,1.2,magnet,mean,0.997028537326389
32,1.3,energy,mean,-1.9587776238952
32,1.3,magnet,mean,0.994772403724748
32,1.4,energy,mean,-1.90949099984217
32,1.4,magnet,mean,0.991384428267045
32,1.5,energy,mean,-1.91011561316288
32,1.5,magnet,mean,0.986504170612374
32,1.6,energy,mean,-1.99855291193182
32,1.6,magnet,mean,0.979620697206439
32,1.7,energy,mean,-1.9587050228851
32,1.7,magnet,mean,0.970072243923611
32,1.8,energy,mean,-1.79092623106061
